Zip Code,Territory,Color
27006,Territory A,Red
27009,Territory A,Red
27012,Territory A,Red
27013,Territory A,Red
27021,Territory A,Red
27023,Territory A,Red
27025,Territory A,Red
27027,Territory A,Red
27028,Territory A,Red
27030,Territory A,Red
27031,Territory A,Red
27040,Territory A,Red
27041,Territory A,Red
27042,Territory A,Red
27045,Territory A,Red
27049,Territory A,Red
27051,Territory A,Red
27052,Territory A,Red
27055,Territory A,Red
27094,Territory A,Red
27098,Territory A,Red
27099,Territory A,Red
27101,Territory A,Red
27102,Territory A,Red
27103,Territory A,Red
27104,Territory A,Red
27105,Territory A,Red
27106,Territory A,Red
27107,Territory A,Red
27108,Territory A,Red
27109,Territory A,Red
27110,Territory A,Red
27111,Territory A,Red
27113,Territory A,Red
27114,Territory A,Red
27115,Territory A,Red
27116,Territory A,Red
27117,Territory A,Red
27120,Territory A,Red
27127,Territory A,Red
27130,Territory A,Red
27150,Territory A,Red
27152,Territory A,Red
27155,Territory A,Red
27157,Territory A,Red
27198,Territory A,Red
27199,Territory A,Red
27203,Territory A,Red
27204,Territory A,Red
27205,Territory A,Red
27214,Territory A,Red
27215,Territory A,Red
27216,Territory A,Red
27217,Territory A,Red
27235,Territory A,Red
27239,Territory A,Red
27244,Territory A,Red
27249,Territory A,Red
27253,Territory A,Red
27258,Territory A,Red
27260,Territory A,Red
27261,Territory A,Red
27262,Territory A,Red
27263,Territory A,Red
27264,Territory A,Red
27265,Territory A,Red
27268,Territory A,Red
27278,Territory A,Red
27282,Territory A,Red
27284,Territory A,Red
27285,Territory A,Red
27288,Territory A,Red
27289,Territory A,Red
27292,Territory A,Red
27293,Territory A,Red
27294,Territory A,Red
27295,Territory A,Red
27298,Territory A,Red
27299,Territory A,Red
27301,Territory A,Red
27302,Territory A,Red
27310,Territory A,Red
27312,Territory A,Red
27313,Territory A,Red
27316,Territory A,Red
27317,Territory A,Red
27320,Territory A,Red
27323,Territory A,Red
27330,Territory A,Red
27331,Territory A,Red
27332,Territory A,Red
27340,Territory A,Red
27344,Territory A,Red
27351,Territory A,Red
27357,Territory A,Red
27358,Territory A,Red
27359,Territory A,Red
27360,Territory A,Red
27361,Territory A,Red
27370,Territory A,Red
27373,Territory A,Red
27374,Territory A,Red
27375,Territory A,Red
27376,Territory A,Red
27377,Territory A,Red
27401,Territory A,Red
27402,Territory A,Red
27403,Territory A,Red
27404,Territory A,Red
27405,Territory A,Red
27406,Territory A,Red
27407,Territory A,Red
27408,Territory A,Red
27409,Territory A,Red
27410,Territory A,Red
27411,Territory A,Red
27412,Territory A,Red
27413,Territory A,Red
27415,Territory A,Red
27416,Territory A,Red
27417,Territory A,Red
27419,Territory A,Red
27420,Territory A,Red
27425,Territory A,Red
27427,Territory A,Red
27429,Territory A,Red
27435,Territory A,Red
27438,Territory A,Red
27455,Territory A,Red
27495,Territory A,Red
27497,Territory A,Red
27498,Territory A,Red
27499,Territory A,Red
27501,Territory A,Red
27502,Territory A,Red
27504,Territory A,Red
27506,Territory A,Red
27509,Territory A,Red
27510,Territory A,Red
27511,Territory A,Red
27512,Territory A,Red
27513,Territory A,Red
27514,Territory A,Red
27515,Territory A,Red
27516,Territory A,Red
27517,Territory A,Red
27518,Territory A,Red
27519,Territory A,Red
27520,Territory A,Red
27522,Territory A,Red
27523,Territory A,Red
27524,Territory A,Red
27525,Territory A,Red
27526,Territory A,Red
27527,Territory A,Red
27528,Territory A,Red
27529,Territory A,Red
27530,Territory A,Red
27531,Territory A,Red
27532,Territory A,Red
27533,Territory A,Red
27534,Territory A,Red
27536,Territory A,Red
27537,Territory A,Red
27539,Territory A,Red
27540,Territory A,Red
27542,Territory A,Red
27545,Territory A,Red
27546,Territory A,Red
27549,Territory A,Red
27552,Territory A,Red
27557,Territory A,Red
27559,Territory A,Red
27560,Territory A,Red
27562,Territory A,Red
27565,Territory A,Red
27571,Territory A,Red
27572,Territory A,Red
27573,Territory A,Red
27574,Territory A,Red
27576,Territory A,Red
27577,Territory A,Red
27583,Territory A,Red
27587,Territory A,Red
27588,Territory A,Red
27591,Territory A,Red
27592,Territory A,Red
27596,Territory A,Red
27597,Territory A,Red
27599,Territory A,Red
27601,Territory A,Red
27602,Territory A,Red
27603,Territory A,Red
27604,Territory A,Red
27605,Territory A,Red
27606,Territory A,Red
27607,Territory A,Red
27608,Territory A,Red
27609,Territory A,Red
27610,Territory A,Red
27611,Territory A,Red
27612,Territory A,Red
27613,Territory A,Red
27614,Territory A,Red
27615,Territory A,Red
27616,Territory A,Red
27617,Territory A,Red
27619,Territory A,Red
27620,Territory A,Red
27622,Territory A,Red
27623,Territory A,Red
27624,Territory A,Red
27625,Territory A,Red
27626,Territory A,Red
27627,Territory A,Red
27628,Territory A,Red
27629,Territory A,Red
27634,Territory A,Red
27635,Territory A,Red
27636,Territory A,Red
27640,Territory A,Red
27650,Territory A,Red
27656,Territory A,Red
27658,Territory A,Red
27661,Territory A,Red
27668,Territory A,Red
27675,Territory A,Red
27676,Territory A,Red
27690,Territory A,Red
27695,Territory A,Red
27697,Territory A,Red
27698,Territory A,Red
27699,Territory A,Red
27701,Territory A,Red
27702,Territory A,Red
27703,Territory A,Red
27704,Territory A,Red
27705,Territory A,Red
27706,Territory A,Red
27707,Territory A,Red
27708,Territory A,Red
27709,Territory A,Red
27710,Territory A,Red
27711,Territory A,Red
27712,Territory A,Red
27713,Territory A,Red
27715,Territory A,Red
27717,Territory A,Red
27722,Territory A,Red
27801,Territory A,Red
27802,Territory A,Red
27803,Territory A,Red
27804,Territory A,Red
27811,Territory A,Red
27812,Territory A,Red
27813,Territory A,Red
27815,Territory A,Red
27817,Territory A,Red
27825,Territory A,Red
27827,Territory A,Red
27828,Territory A,Red
27833,Territory A,Red
27834,Territory A,Red
27835,Territory A,Red
27836,Territory A,Red
27837,Territory A,Red
27852,Territory A,Red
27856,Territory A,Red
27858,Territory A,Red
27861,Territory A,Red
27863,Territory A,Red
27864,Territory A,Red
27870,Territory A,Red
27871,Territory A,Red
27874,Territory A,Red
27879,Territory A,Red
27882,Territory A,Red
27884,Territory A,Red
27886,Territory A,Red
27889,Territory A,Red
27892,Territory A,Red
27893,Territory A,Red
27894,Territory A,Red
27895,Territory A,Red
27896,Territory A,Red
27906,Territory A,Red
27907,Territory A,Red
27909,Territory A,Red
27910,Territory A,Red
27932,Territory A,Red
27944,Territory A,Red
27949,Territory A,Red
27954,Territory A,Red
27959,Territory A,Red
27962,Territory A,Red
27983,Territory A,Red
28001,Territory A,Red
28002,Territory A,Red
28006,Territory A,Red
28010,Territory A,Red
28012,Territory A,Red
28016,Territory A,Red
28017,Territory A,Red
28021,Territory A,Red
28023,Territory A,Red
28025,Territory A,Red
28026,Territory A,Red
28027,Territory A,Red
28031,Territory A,Red
28032,Territory A,Red
28034,Territory A,Red
28035,Territory A,Red
28036,Territory A,Red
28037,Territory A,Red
28039,Territory A,Red
28041,Territory A,Red
28043,Territory A,Red
28052,Territory A,Red
28053,Territory A,Red
28054,Territory A,Red
28055,Territory A,Red
28056,Territory A,Red
28070,Territory A,Red
28072,Territory A,Red
28075,Territory A,Red
28077,Territory A,Red
28078,Territory A,Red
28079,Territory A,Red
28080,Territory A,Red
28081,Territory A,Red
28082,Territory A,Red
28083,Territory A,Red
28086,Territory A,Red
28088,Territory A,Red
28092,Territory A,Red
28093,Territory A,Red
28097,Territory A,Red
28098,Territory A,Red
28101,Territory A,Red
28104,Territory A,Red
28105,Territory A,Red
28106,Territory A,Red
28107,Territory A,Red
28110,Territory A,Red
28111,Territory A,Red
28112,Territory A,Red
28115,Territory A,Red
28117,Territory A,Red
28120,Territory A,Red
28123,Territory A,Red
28124,Territory A,Red
28126,Territory A,Red
28127,Territory A,Red
28129,Territory A,Red
28130,Territory A,Red
28134,Territory A,Red
28138,Territory A,Red
28144,Territory A,Red
28145,Territory A,Red
28146,Territory A,Red
28147,Territory A,Red
28150,Territory A,Red
28151,Territory A,Red
28152,Territory A,Red
28159,Territory A,Red
28160,Territory A,Red
28164,Territory A,Red
28166,Territory A,Red
28173,Territory A,Red
28201,Territory A,Red
28202,Territory A,Red
28203,Territory A,Red
28204,Territory A,Red
28205,Territory A,Red
28206,Territory A,Red
28207,Territory A,Red
28208,Territory A,Red
28209,Territory A,Red
28210,Territory A,Red
28211,Territory A,Red
28212,Territory A,Red
28213,Territory A,Red
28214,Territory A,Red
28215,Territory A,Red
28216,Territory A,Red
28217,Territory A,Red
28218,Territory A,Red
28219,Territory A,Red
28220,Territory A,Red
28221,Territory A,Red
28222,Territory A,Red
28223,Territory A,Red
28224,Territory A,Red
28226,Territory A,Red
28227,Territory A,Red
28228,Territory A,Red
28229,Territory A,Red
28230,Territory A,Red
28231,Territory A,Red
28232,Territory A,Red
28233,Territory A,Red
28234,Territory A,Red
28235,Territory A,Red
28236,Territory A,Red
28237,Territory A,Red
28241,Territory A,Red
28242,Territory A,Red
28243,Territory A,Red
28244,Territory A,Red
28246,Territory A,Red
28247,Territory A,Red
28253,Territory A,Red
28254,Territory A,Red
28255,Territory A,Red
28256,Territory A,Red
28258,Territory A,Red
28260,Territory A,Red
28262,Territory A,Red
28263,Territory A,Red
28265,Territory A,Red
28266,Territory A,Red
28269,Territory A,Red
28270,Territory A,Red
28271,Territory A,Red
28272,Territory A,Red
28273,Territory A,Red
28274,Territory A,Red
28275,Territory A,Red
28277,Territory A,Red
28278,Territory A,Red
28280,Territory A,Red
28281,Territory A,Red
28282,Territory A,Red
28284,Territory A,Red
28285,Territory A,Red
28287,Territory A,Red
28288,Territory A,Red
28289,Territory A,Red
28290,Territory A,Red
